GreatWalk,Name,Description,Longitude,Latitude,POIIconType
AbelTasman CoastTrack,Falls River suspension bridge,,173.048698,-40.928707,Generic POI
AbelTasman CoastTrack,Mutton Cove,,172.99522,-40.787637,Generic POI
AbelTasman CoastTrack,Separation Point,,174.13903,-41.314438,Natural feature
AbelTasman CoastTrack,Te Puketea Bay,,173.065962,-40.953217,Natural feature
AbelTasman CoastTrack,The historic homestead at Whariwharangi,"Stay in an historic homestead, which is now a DOC hut",172.974623,-40.788984,Historical site
HeaphyTrack,14 mile marker (one of the last original distance markers) ,,172.2273258,-40.88110473,Historic site
HeaphyTrack,Gunner bridge,,172.1381088,-40.95869088,Generic POI
HeaphyTrack,Heaphy Pa site ,,172.1104183,-40.98638772,Historic site
HeaphyTrack,Heaphy River Lagoon ,,172.1086021,-40.98531073,"Lake, River, stream, beach"
HeaphyTrack,Heaphy River view from Mackay Hut,,172.110754,-40.98885,Scenic Lookout
HeaphyTrack,Kiwi at Mackay and Lewis Huts,,172.147913,-40.940099,Birdwatching
HeaphyTrack,Lewis Giant Rata tree ,,172.1463709,-40.94180797,Generic POI
HeaphyTrack,Limestone bluffs Heaphy Valley  (Between Lewis and Heaphy Huts on the TL of the Heaphy River),,172.250436,-41.789231,Generic POI
HeaphyTrack,Nikau palms Heaphy Valley and coastal ( two Headed Nikau limestone section ) ,,172.1431982,-40.95473819,Generic POI
HeaphyTrack,Scotts Hill lookout ,,172.1015713,-41.09855,Scenic Lookout
KeplerTrack,Alpine Tussock grassland ,"At around 1000m the track emerges from the bush into the alpine tussock grassland, for most of the day you will be enjoying an adventure above the clouds surrounded by golden tussock and views that take your breath away. ",167.6345758,-45.39947176,Generic POI
KeplerTrack,Hanging Valley Shelter,A favourite lunch stop with amazing views,167.535779,-45.38300501,Scenic Lookout
KeplerTrack,Limestone Bluffs ,"The Kepler Mountains are built of metamorphic and plutonic rocks, formed deep in the earth’s crust. Resting on this basement material are younger sediments like limestone, which formed when the area subsided below sea level before being raised again. Impressive limestone bluffs can be seen on the Kepler Track just below the bushline on Mount Luxmore. Glacial deposits dating from the last Ice Age mantle the lowlands around Lakes Te Anau and Manapouri. Glaciers scoured the Fiordland landscape for tens of thousands of years, carving the fiords, lakes and deep U- shaped valleys so typical of the area.",167.63929,-45.4038376,Generic POI
KeplerTrack,Moturau Hut on the shores of Lake Manapouri,"Lake Manapouri is often described as the 'loveliest' of all lakes with its array of 33 small islands, backdrop of the majestic Cathedral Mountain range, native bush clad edges, sandy beaches and coves. The situation of Moturau Hut on the shores of Lake Manapouri makes the most of this beautiful area.",167.6104355,-45.48172416,"Lake, River, stream, beach"
KeplerTrack,Mt Luxmore Summit,A 10 minute side trip to the summit (1472 metres) provides stunning panoramic views in fine weather.,167.5903334,-45.3860113,Scenic Lookout
KeplerTrack,The Big Slip,This is a massive Slip which swept across the Iris Burn Valley in 1984 clearing everything in its path.,167.5249972,-45.41230297,Generic POI
LakeWaikaremoana,Aniwaniwa falls on the Hinerau track,,177.161409,-38.743641,Waterfall
LakeWaikaremoana,Bald Knob,Views from Bald Knob and feeling of dangling over the Lake from verrrrry high up in the sky ,177.069452,-38.795036,Scenic Lookout
LakeWaikaremoana,Lake Waikareiti,Hire a row boat from the Visitor Centre and take a row out to Rahui Island - the lake in the lake! And check out the mistletoe in flower (Jan/Feb),177.170091,-38.712779,"Lake, River, stream, beach"
LakeWaikaremoana,Lou's Lookout,,177.1296,-38.790249,Scenic Lookout
LakeWaikaremoana,Mist off Lake Waikaremoana ,Mist rising off the Lake in the morning ,177.076125,-38.769041,"Lake, River, stream, beach"
LakeWaikaremoana,Onepoto Caves,,177.12366,-38.798593,Generic POI
LakeWaikaremoana,Onepoto Redoubt,,177.119922,-38.804038,Historic site
LakeWaikaremoana,Ruapani tarns walkway ,"Good running loop - through the different forest types - swamps, wetlands and tarns",177.163067,-38.743063,Side trip
LakeWaikaremoana,Waikaremoana Motor Camp,Kick back and relax at the Waikaremoana Motor Camp,177.155597,-38.753444,Camping
MilfordTrack,Bell Rock,"Bell Rock was hollowed out by Mackay Falls and then turned upside down. It is possible to stand in the hollowed out part, which is over 4 m high inside.",167.7992208,-44.73145562,Generic POI
MilfordTrack,Giants Gate,"One of the most beautiful waterfalls you'll see, and you can't miss it as the swingbridge crosses right beside it. ",167.8521028,-44.70552249,Waterfall
MilfordTrack,Lake Ada,"Toward the end of the 19th century many visitors were walking the new track and there was an increasing demand to upgrade. Modelling an experiment from England, the Inspector General of Prisons decided to take 45 prisoners to work on cutting a road from Sandfly Point to Sutherland Falls. In 1892, prison barracks were set up at Sandfly Point. Within days of their arrival two prisoners escaped and fled over the track, only to be met by police in Te Anau. The next year two more escaped and got all the way to Mossburn, before being recaptured.
Due to a lack of discipline and only two kilometres of road being completed in nearly two years, it was decided the prisoners be removed and replaced with contract labourers. With most of the new labour gang being ex-miners and experienced with explosives, they were able to complete the difficult rock-blasting around Lake Ada by 1898. The names of two of the gang can still be seen carved on a rock wall there.",167.864965,-44.70303203,Historic site
MilfordTrack,Mackay Falls,This highly photographed waterfall has become an icon of the Milford Track. ,167.7980478,-44.73113205,Waterfall
MilfordTrack,Mackinnon Pass,"A memorial to the Quinin Mackinnon marks this spectacular main-divide pass surrounded by glacier encrusted mountains.  In 1888 the government funded the first track-making expeditions in the Arthur and Clinton Valleys as an incentive to find an accessible route to Milford Sound. Quntin Mackinnnon and Earnest Mitchell found the Mackinnon Pass the same year, and Mackinnon quickly established himself as the first guide on the Milford Track. ",167.7665696,-44.80292374,Generic POI
MilfordTrack,Milford Sound,The spectacular conclusion to the 'Finest Walk in the World',167.9255595,-44.67127998,Generic POI
MilfordTrack,The Pass Day Shelter,"The Pass Day Shelter is 20 minutes from the memorial, crossing the highest point on the track at 1154 metres. The shelter is supplied with a gas-cooker during summer and has the toilet with the best view in Fiordland! ",167.7756734,-44.80239051,Scenic Lookout
MilfordTrack,The Wetland Walkway,A short side track to the wetland area is signposted 10 minutes before Clinton Hut. A boardwalk winds its way over this diverse and interesting wetland environment to an open platform which affords spectacular views of the Clinton Valley and Mt.Sentinel. Make use of the interpretive panels or join a guided walk with the Clinton Hut DOC ranger in the late afternoon. ,167.9084976,-44.90873808,Side trip
RakiuraTrack,Gallon’s Sawmill ,"The Rakiura track runs past a number of old sawmill sites that once dotted the island’s coastline. The first sawmill was built here in 1861 when Gallon dammed the small stream that flows into the head of Kaipipi Inlet to direct water into a race to a waterwheel to power his saw. No structures remain today, but there is still evidence of the rock lined pit where the waterwheel once stood and on-site interpretation tells the story of this mill. ",168.0643266,-46.89618488,Historical site
RakiuraTrack,Kaipipi Bay ,"Today this is a tranquil picnic spot, but not so in the late 1800s – early 1900s when a long bridge and tramline spanned the Kaipipi shallows to allow saw millers to tap into the centuries old rimu which was the preferred timber for furniture and buildings. ",168.069611,-46.906316,"Lake, River, stream, beach"
RakiuraTrack,Lee Bay ,"Entrance to Rakiura National Park and beginning of Rakiura Track, has a symbolic  Anchor chain Sculpture (continuation of sculpture is at Stirling Point in Bluff) to signify that Stewart Island is the anchor stone of Maui’s Canoe in Maori Legend.",168.1224883,-46.86334541,Generic POI
RakiuraTrack,Maori Beach ,Site of early Maori kaika (Maori village) at Peter’s Point. Area of significant sawmilling & logging from 1913 – 1931. A small community lived along Maori Beach waterfront which included Stewart Island’s 3rd School at the time. Old machinery is present and interpretation/signage is posted for visitors. ,168.0868287,-46.85721714,Historic site
RakiuraTrack,Podocarp Forest ,"The whole of the Rakiura Track has beautiful Podocarp – Broadleaf rainforest, however the second day of the Rakiura Track takes you through a section in the middle of un-milled “virgin” forest where you are able to see large stands of old  Rimu, Rata, Miro, Totara & Kamahi. ",168.0769348,-46.84676372,Generic POI
RakiuraTrack,Port William / Potirepo ,"Port William is a nice sheltered harbour so has been the site of a range of commercial industries over the years, from fishing, mining & farming to even a small Gold Rush.                                                                                      Kiwi can be heard and sometimes seen around this hut ",168.0822659,-46.83753322,Generic POI
RouteburnTrack,Bridal Veil Falls,,168.2585189,-44.71041039,Waterfall
RouteburnTrack,Harris Saddle ,,168.172436,-44.72567449,Generic POI
RouteburnTrack,Lake Harris,,168.1741112,-44.72529397,Lake
RouteburnTrack,Routeburn Falls,,168.1991291,-44.72552828,Waterfall
RouteburnTrack,View from ‘The Big Slip’,,168.2094805,-44.73037644,Scenic Lookout
RouteburnTrack,View of Hollyford Valley & Darran Mountains,,168.1673282,-44.73240166,Scenic Lookout
WhanganuiJourney,The river Drop Scene ,,175.015937,-39.434377,Generic POI
WhanganuiJourney,Visit riverside villages by canoe i.e. Whakahoro & Pipiriki,,175.046911,-39.479861,Generic POI
AbelTasman CoastTrack,Camping,Some people visit Abel Tasman National Park just for the camping! There are campsites dotted all along the track with some located right next to a beautiful golden beach!,173.059377,-40.956726,Camping
AbelTasman CoastTrack,Cleopatras Pool ,"Swim at Cleopatras Pool, a natural rock pool with a moss-lined waterslide that is fit for a queen! From Torrent Bay estuary, a 20 minute walk takes you to this refreshing pool.",173.037096,-40.956148,Swimming
AbelTasman CoastTrack,Onetahuti Beach,"Rest your weary walking feet at Onetahuti Beach. Shaped like a horse shoe it’s one of the longest and most beautiful beaches in the park. Swim, snorkel or soak up the sunshine!",173.048404,-40.885308,Swimming
AbelTasman CoastTrack,Pitt Head,"A 20 min walk crosses a low ridge from Anchorage Hut to crescent-shaped Te Pukatea Bay. From there, a 1 hour walk with great views leads to Pitt Head, an old pa site, and back to Anchorage.",173.067242,-40.948339,Historic site
AbelTasman CoastTrack,Tonga Island Marine Reserve,"Tonga Island Marine Reserve is the third marine reserve to be created alongside a national park and covers an area of 1835 hectares. Swimming, snorkelling and kayaking are popular activities in the reserve.",173.066669,-40.890472,Generic POI
HeaphyTrack,Heaphy Hut,"The Heaphy Hut is located right next to one of New Zealand’s oldest and most interesting archaeological sites – an ancient village situated on a nearby river bank, believed to have been settled by Polynesians in the 13th – 14th century. ",172.103418,-41.091484,Historic site
HeaphyTrack,Land snails,"Kahurangi National Park harbours half of New Zealand’s 40 species of carnivorous land snail (Powelliphanta). Look out for one on the track, particularly near limestone outcrops where there is enough calcium to nourish their sizeable shells! ",172.108564,-40.992014,Generic POI
KeplerTrack,Iris Burn Falls,Take a 15 min stroll from Iris Burn Hut to Iris Burns Falls. The falls are a great place for an icy cold swim to refresh you after a day’s walking.,167.4961819,-45.39560873,Waterfall
KeplerTrack,Listening to Kiwi at Iris Burn Hut ,"Listen out for the call of NZ’s iconic kiwi from Iris Burn Hut. Fiordland kiwi (tokoeka) can be heard on the Kepler Track. Largely nocturnal, it cannot fly, has loose, hair-like feathers and long whiskers.",167.5095182,-45.39872048,Birdwatching
KeplerTrack,Luxmore Caves ,Explore an amazing limestone cave! Grab a couple of torches and take a quick 10 min stroll from Luxmore Hut to Luxmore Caves. Just 30 m into the cave you’ll find stalactites and stalagmites.,167.6157902,-45.38886302,Generic POI
KeplerTrack,Rainbow Reach Swing Bridge,Swing bridges make for an entertaining journey over rivers and creeks. The Rainbow Reach swing bridge crosses the Waiau River and makes an impressive entry/exit point for the track.,167.6630553,-45.4907336,Generic POI
