Name,Description,Type,Long,Lat,PixelOffsetLeft,PixelOffsetTop
"Falls River suspension bridge"," ","Generic POI","173.048698","-40.928707"," "," "
"Mutton Cove"," ","Generic POI","172.99522","-40.787637"," ","-15"
"Separation Point"," ","Natural feature","174.13903","-41.314438"," "," "
"Cleopatras Pool ","Swim at Cleopatras Pool, a natural rock pool with a moss-lined waterslide that is fit for a queen! From Torrent Bay estuary, a 20 minute walk takes you to this refreshing pool.","Swimming","173.037096","-40.956148","5"," "
"Onetahuti Beach","Rest your weary walking feet at Onetahuti Beach. Shaped like a horse shoe it's one of the longest and most beautiful beaches in the park. Swim, snorkel or soak up the sunshine!","Swimming","173.048404","-40.885308","-30","-5"
"Pitt Head","A 20 min walk crosses a low ridge from Anchorage Hut to crescent-shaped Te Pukatea Bay. From there, a 1 hour walk with great views leads to Pitt Head, an old pa site, and back to Anchorage.","Historic site","173.067242","-40.948339"," ","-15"
"Tonga Island Marine Reserve","Tonga Island Marine Reserve is the third marine reserve to be created alongside a national park and covers an area of 1835 hectares. Swimming, snorkelling and kayaking are popular activities in the reserve.","Generic POI","173.066669","-40.890472"," "," "
"Wainui Carpark Shelter"," ","Shelter","172.957","-40.8099","-30","-30"
"Whariwharangi Hut","The historic homestead at Whariwharangi. Stay in an historic homestead, which is now a DOC hut","Camphut","172.974","-40.789","30","15"
"Mutton Cove Campsite"," ","Campsite","172.994","-40.791"," ","3"
"Anapai Campsite"," ","Campsite","173.004","-40.8028"," "," "
"Totaranui Campsite"," ","Campsite","173.004","-40.8227"," "," "
"Waiharakeke campsite"," ","Campsite","173.016","-40.8493"," "," "
"Awaroa Hut and Campsite"," ","Camphut","173.018","-40.8652","-20"," "
"Onetahuti Beach Campsite"," ","Campsite","173.047","-40.889","20"," "
"Bark Bay Hut"," ","Camphut","173.049","-40.9161","5","5"
"Tonga Quarry Campsite"," ","Campsite","173.051","-40.8943","10","10"
"Medlands Beach Campsite"," ","Campsite","173.055","-40.9209","15"," "
"Torrent Bay Village Campsite"," ","Campsite","173.046","-40.9475","15","7"
"Te Puketea Campsite"," ","Campsite","173.064","-40.9532"," ","-5"
"Anchorage Hut and Campsite"," ","Camphut","173.06","-40.9564","-5","10"
"Watering Cove Campsite"," ","Campsite","173.056","-40.9638","-25","-5"
"Akersten Bay Campsite"," ","Campsite","173.047","-40.9721"," "," "
"Apple Tree Bay Campsite"," ","Campsite","173.038","-40.9823"," "," "
"Tinline campsite"," ","Campsite","173.025","-40.9885","15","-15"
"Marahau Roadend Information Shelter"," ","Shelter","173.005","-40.996"," ","-30"
"Adele Island"," ","Feature","173.06","-40.9792"," "," "
