Name,Description,Type,Long,Lat,PixelOffsetLeft,PixelOffsetTop
"Aniwaniwa falls on the Hinerau track"," ","Waterfall","177.161409","-38.743641"," ","25"
"Bald Knob","Views from Bald Knob and feeling of dangling over the Lake from verrrrry high up in the sky ","Scenic Lookout","177.069452","-38.795036"," "," "
"Lake Waikareiti","Hire a row boat from the Visitor Centre and take a row out to Rahui Island - the lake in the lake! And check out the mistletoe in flower (Jan/Feb)","Lake, River, stream, beach","177.170091","-38.712779"," "," "
"Lou's Lookout"," ","Scenic Lookout","177.1296","-38.790249"," "," "
"Mist off Lake Waikaremoana ","Mist rising off the Lake in the morning ","Lake, River, stream, beach","177.086125","-38.769041"," ","10"
"Onepoto Caves"," ","Generic POI","177.12366","-38.798593"," "," "
"Onepoto Redoubt"," ","Historic site","177.119922","-38.804038"," ","10"
"Ruapani tarns walkway ","Good running loop - through the different forest types - swamps, wetlands and tarns","Side trip","177.163067","-38.743063","7"," "
"Waikaremoana Motor Camp","Kick back and relax at the Waikaremoana Motor Camp","Camping","177.155597","-38.753444"," "," "
"Korokoro Falls","The Korokoro Falls are well worth the detour. The spectacular waterfall drops off a sheer cliff amidst native rain forest - very instagrammable! It's a 30 minute walk just before the suspension bridge.","Waterfall","176.976503","-38.79837"," "," "
"Maori History","If the weather is less than postcard-blue skies, remember that the remote Te Urewera National Park has been home to Ngai Tuhoe, the local Maori people, who call themselves Nga Tamariki o te Kohu - the children of the mist. If you're spending a rainy evening by the hut fireside, why not take a guidebook and take the opportunity to learn the names of some plants or bird in Te Reo Maori?","Historic site","177.06","-38.769288"," "," "
"Panekire Hut ","Climbing to 1185 m to Panekire Hut, views of the ocean and the Lake - sunrise through the goblin forest trees at the top","Scenic Lookout","177.051863","-38.812394"," "," "
"Swimming in the lake!","Take your swimming gear! The cool, crystal clear water will be heavenly refreshing after a long day's walk. There are plenty of spots, and most of the huts and campsites have great swimming too.","Swimming","177.076125","-38.769041"," "," "
"Hopuruahine Shelter"," ","Shelter","177.063","-38.7115"," "," "
"Marauiti Hut"," ","Hut","176.996","-38.7677","-30","10"
"Tapuaenui Shelter"," ","Shelter","177.052","-38.7363"," "," "
"Korokoro Campsite"," ","Campsite","176.987","-38.7937"," "," "
"Waiopaoa Hut and Campsite"," ","Camphut","176.993","-38.8091"," "," "
"Tapuaenui Campsite"," ","Campsite","177.052","-38.7359"," "," "
"Maraunui Campsite"," ","Campsite","176.988","-38.7686"," "," "
"Waiharuru Hut"," ","Camphut","177.033","-38.7436","40","0"
"Korokoro Camping Shelter"," ","Shelter","176.986","-38.7946"," "," "
"Maraunui Camping Shelter"," ","Shelter","176.988","-38.7685"," ","8"
"Onepoto Bay Shelter"," ","Shelter","177.12","-38.8004"," "," "
"Whanganui Hut"," ","Hut","177.04","-38.7205"," "," "
"Aniwaniwa Visitor Centre"," ","VisitorCentre","177.16","-38.7427"," "," "
"Waikaremoana Motor Camp"," ","Feature","177.09","-38.7336"," "," "
"Armed Constablulary Redoubt"," ","Feature","177.115","-38.8026"," "," "
"Panekiri Bluff"," ","Feature","177.089","-38.7898"," "," "
