NAME,Point,GreatWalk,Long,Lat
Hopuruahine Shelter,Shelter,LakeWaikaremoana,177.063,-38.7115
Marauiti Hut,Hut,LakeWaikaremoana,176.996,-38.7677
Tapuaenui Shelter,Shelter,LakeWaikaremoana,177.052,-38.7363
Panekiri Hut,Hut,LakeWaikaremoana,177.052,-38.8124
Korokoro Campsite,Campsite,LakeWaikaremoana,176.987,-38.7937
Waiopaoa Campsite,Campsite,LakeWaikaremoana,176.993,-38.8091
Tapuaenui Campsite,Campsite,LakeWaikaremoana,177.052,-38.7359
Waiharuru Campsite,Campsite,LakeWaikaremoana,177.033,-38.7443
Maraunui Campsite,Campsite,LakeWaikaremoana,176.988,-38.7686
Waiharuru Hut,Hut,LakeWaikaremoana,177.033,-38.7436
Korokoro Camping Shelter,Shelter,LakeWaikaremoana,176.986,-38.7946
Waiopaoa Hut,Hut,LakeWaikaremoana,176.994,-38.8096
Maraunui Camping Shelter,Shelter,LakeWaikaremoana,176.988,-38.7685
Onepoto Bay Shelter,Shelter,LakeWaikaremoana,177.12,-38.8004
Whanganui Hut,Hut,LakeWaikaremoana,177.04,-38.7205
Korokoro Falls,Feature,LakeWaikaremoana,176.976,-38.7983
Aniwaniwa Visitor Centre,VisitorCentre,LakeWaikaremoana,177.16,-38.7427
Water Whirler,Feature,WellingtonWaterfront,174.779,-41.2865
Kupe's Statue,Feature,WellingtonWaterfront,174.78,-41.2891
The Great Leap,Feature,WellingtonWaterfront,174.78,-41.2884
Hikitia Floating Crane,Feature,WellingtonWaterfront,174.78,-41.2892
Te Papa,Feature,WellingtonWaterfront,174.782,-41.29
Waikaremoana Motor Camp,Feature,LakeWaikaremoana,177.09,-38.7336
Armed Constablulary Redoubt,Feature,LakeWaikaremoana,177.115,-38.8026
Panekiri Bluff,Feature,LakeWaikaremoana,177.089,-38.7898
Mangatepopo Hut,Hut,TongariroNorthernCircuit,175.597,-39.1446
Waihohonu Hut,Hut,TongariroNorthernCircuit,175.683,-39.2099
Oturere Campsite,Campsite,TongariroNorthernCircuit,175.689,-39.1593
Oturere Hut,Hut,TongariroNorthernCircuit,175.689,-39.1588
Mangatepopo Campsite,Campsite,TongariroNorthernCircuit,175.596,-39.1448
Mangatepopo Roadend Shelter,Shelter,TongariroNorthernCircuit,175.581,-39.1445
