Name,Description,Type,Long,Lat,PixelOffsetLeft,PixelOffsetTop
"Tama Lakes","Take the turn off to Tama Lakes from the main track. The two lakes, in filled explosion craters, are named after the high chief Tamatea, who explored the area six centuries ago.","Lake","175.606317","-39.201274"," "," "
"Taranaki Falls","Tumbling 20 m over the edge of a large lava flow, which erupted from Ruapehu 15,000 years ago, Taranaki Falls plunge into a boulder-ringed pool. A looped track, allow 2 hours for the return trip.","Waterfall","175.565094","-39.196756"," "," "
"Volcanoes","Walk across active volcanoes! The three volcanoes at the heart of the park are the mountains - Tongariro, Ngauruhoe and Ruapehu. Ruapehu and Ngauruhoe are two of the most active composite volcanoes in the world. ","Volcano","175.634869","-39.158368"," "," "
"Mangatepopo Hut and Campsite"," ","Camphut","175.597","-39.1446"," "," "
"Waihohonu Hut"," ","Hut","175.683","-39.2099"," "," "
"Oturere Hut and Campsite"," ","Camphut","175.689","-39.1593"," "," "
"Mangatepopo Roadend Shelter"," ","Shelter","175.581","-39.1445"," "," "
"Upper Tama Lake"," ","Feature","175.622","-39.1849"," "," "
"Ohinepango Springs"," ","Feature","175.676","-39.2163"," "," "
"Old Waihohonu Hut"," ","Feature","175.673","-39.2093"," "," "
"Soda Springs"," ","Feature","175.622","-39.1383"," "," "
"Blue Lake"," ","Feature","175.661","-39.1247","-15","-10"
"Red Crater"," ","Feature","175.651","-39.1366"," "," "
"Emerald Lakes"," ","Feature","175.655","-39.134"," ","-20"
"Tongariro National Park Visitor Centre"," ","VisitorCentre","175.54","-39.2016"," ","30"
"Whakapapa Motor Camp"," ","Campsite","175.54","-39.2028"," "," "
"Ketetahi Roadend Shelter"," ","Shelter","175.662","-39.0761"," "," "
"Waihohonu Campsite"," ","Campsite","175.683","-39.2101"," "," "
