Name,Description,Type,Long,Lat,PixelOffsetLeft,PixelOffsetTop
"The river Drop Scene "," ","Generic POI","175.015937","-39.434377"," "," "
"Visit riverside villages by canoe i.e. Whakahoro & Pipiriki"," ","Generic POI","175.046911","-39.479861"," ","-25"
"Bridge to Nowhere walk","Visit the famous Bridge to Nowhere, a bridge left behind by returned World War One Serviceman in the valley of abandoned dreams. A gentle 40 minute walk from the Mangapurua Landing on the Whanganui river will take you there.","Side trip","174.974416","-39.278407"," "," "
"Staying at Tieke Kainga","Enjoy a unique stay at Tieke Kainga on a marae that is also used as a Great Walks hut. Tieke was one of many old pa sites on the Whanganui River and has been revived as a kainga (village).","Historic site","174.993106","-39.33747"," "," "
"Ohinepane Campsite"," ","Campsite","175.146","-38.9416"," "," "
"Poukaria Campsite"," ","Campsite","175.12","-38.9921"," "," "
"Managpapa Campsite"," ","Campsite","174.999","-39.1295"," "," "
"John Coull Campsite"," ","Campsite","174.914","-39.233"," "," "
"Maharanui Campsite"," ","Campsite","175.045","-39.0736"," "," "
"Whakahoro Campsite"," ","Campsite","175.071","-39.1092"," "," "
"Whakahoro Shelter"," ","Shelter","175.07","-39.1088"," ","30"
"Ohauora Campsite"," ","Campsite","174.959","-39.1711"," "," "
"John Coull Hut"," ","Hut","174.914","-39.2327"," "," "
"Mangawaiiti Campsite"," ","Campsite","174.905","-39.2841"," "," "
"Mangapurua Campsite"," ","Campsite","174.967","-39.2807","-30","-30"
"Tieke Kainga Marae and Tieke Campsite"," ","Camphut","174.993","-39.3375"," "," "
"Ngaporo Campsite"," ","Campsite","175.036","-39.4248"," "," "
"Ohura Falls"," ","Feature","175.038","-39.0547"," "," "
"Managanui O Te Ao River"," ","Feature","175.047","-39.4032"," "," "
